"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","order_freq","correct","responses","question_order","bonus"
"135.19999999925494","","image-keyboard-response","289","3677992","0.0-289.0","","img/set1/S1.jpg","74","1","structured_normal","83","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","290","3678346","0.0-290.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","291","3678548","0.0-291.0","","","null","","","","","","","","","",""
"95.29999999701977","","image-keyboard-response","292","3678645","0.0-292.0","","img/set1/S2.jpg","83","2","structured_normal","68","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","293","3678999","0.0-293.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","294","3679201","0.0-294.0","","","null","","","","","","","","","",""
"21.099999997764826","","image-keyboard-response","295","3679224","0.0-295.0","","img/set1/S3.jpg","74","3","structured_normal","72","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","296","3679578","0.0-296.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","297","3679780","0.0-297.0","","","null","","","","","","","","","",""
"19.599999997764826","","image-keyboard-response","298","3679803","0.0-298.0","","img/set1/S4.jpg","83","4","structured_normal","74","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","299","3680155","0.0-299.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","300","3680357","0.0-300.0","","","null","","","","","","","","","",""
"165.5","","image-keyboard-response","301","3680524","0.0-301.0","","img/set1/S1.jpg","83","1","structured_normal","83","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","302","3680877","0.0-302.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","303","3681079","0.0-303.0","","","null","","","","","","","","","",""
"117.30000000074506","","image-keyboard-response","304","3681199","0.0-304.0","","img/set1/S1.jpg","83","1","structured_normal","83","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","305","3681552","0.0-305.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","306","3681754","0.0-306.0","","","null","","","","","","","","","",""
"124.60000000149012","","image-keyboard-response","307","3681881","0.0-307.0","","img/set1/S1.jpg","83","1","structured_normal","83","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","308","3682235","0.0-308.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","309","3682437","0.0-309.0","","","null","","","","","","","","","",""
"89.60000000149012","","image-keyboard-response","310","3682529","0.0-310.0","","img/set1/S1.jpg","83","1","structured_normal","83","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","311","3682883","0.0-311.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","312","3683085","0.0-312.0","","","null","","","","","","","","","",""
"75.19999999925494","","image-keyboard-response","313","3683162","0.0-313.0","","img/set1/S4.jpg","83","4","structured_normal","74","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","314","3683516","0.0-314.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","315","3683718","0.0-315.0","","","null","","","","","","","","","",""
"51.099999997764826","","image-keyboard-response","316","3683771","0.0-316.0","","img/set1/S2.jpg","83","2","structured_normal","68","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","317","3684124","0.0-317.0","","<img src=""img/set1/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","318","3684326","0.0-318.0","","","null","","","","","","","","","",""
"62.099999997764826","","image-keyboard-response","319","3684390","0.0-319.0","","img/set1/S3.jpg","83","3","structured_normal","72","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","320","3684743","0.0-320.0","","<img src=""img/set1/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","321","3684945","0.0-321.0","","","null","","","","","","","","","",""
"145.19999999925494","","image-keyboard-response","322","3685093","0.0-322.0","","img/set1/S4.jpg","83","4","structured_normal","74","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","323","3685446","0.0-323.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","324","3685648","0.0-324.0","","","null","","","","","","","","","",""
"30.200000002980232","","image-keyboard-response","325","3685680","0.0-325.0","","img/set1/S1.jpg","83","1","structured_normal","83","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
"null","","html-keyboard-response","326","3686033","0.0-326.0","","<img src=""img/set1/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","","",""
"null","","html-keyboard-response","327","3686235","0.0-327.0","","","null","","","","","","","","","",""
"111.10000000149012","","image-keyboard-response","328","3686349","0.0-328.0","","img/set1/S4.jpg","83","4","structured_normal","74","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","329","3686702","0.0-329.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","330","3686904","0.0-330.0","","","null","","","","","","","","","",""
"84.69999999925494","","image-keyboard-response","331","3686991","0.0-331.0","","img/set1/S4.jpg","83","4","structured_normal","74","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","false","","",""
"null","","html-keyboard-response","332","3687344","0.0-332.0","","<img src=""img/set1/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","","",""
"null","","html-keyboard-response","333","3687546","0.0-333.0","","","null","","","","","","","","","",""
"121.20000000298023","","image-keyboard-response","334","3687669","0.0-334.0","","img/set1/S1.jpg","83","1","structured_normal","83","structured_normal,random,structured_incentive,structured_load","2,3,2,1,3,4","4,1,2,3","true","","",""
