"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","correct","responses","question_order","bonus"
"446.09999999403954","","image-keyboard-response","1414","726424","0.0-1414.0","","img/set4/S3.jpg","72","3","structured_load","72","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1415","726789","0.0-1415.0","","<img src=""img/set4/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1416","726992","0.0-1416.0","","","null","","","","","","","","",""
"513.9000000059605","","image-keyboard-response","1417","727507","0.0-1417.0","","img/set4/S2.jpg","68","2","structured_load","68","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1418","727865","0.0-1418.0","","<img src=""img/set4/S2.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1419","728070","0.0-1419.0","","","null","","","","","","","","",""
"554.2999999970198","","image-keyboard-response","1420","728624","0.0-1420.0","","img/set4/S3.jpg","68","3","structured_load","72","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","false","","",""
"null","","html-keyboard-response","1421","728989","0.0-1421.0","","<img src=""img/set4/S3.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","1422","729193","0.0-1422.0","","","null","","","","","","","","",""
"486.29999999701977","","image-keyboard-response","1423","729681","0.0-1423.0","","img/set4/S2.jpg","72","2","structured_load","68","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","false","","",""
"null","","html-keyboard-response","1424","730040","0.0-1424.0","","<img src=""img/set4/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","1425","730248","0.0-1425.0","","","null","","","","","","","","",""
"511","","image-keyboard-response","1426","730760","0.0-1426.0","","img/set4/S3.jpg","72","3","structured_load","72","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1427","731120","0.0-1427.0","","<img src=""img/set4/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
